# WARNING: under-powered analysis due to low broad event frequency
Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2121	0.00	0.00	NaN	1	0.00	0.00	NaN	1
1q	1955	0.00	0.00	NaN	1	0.00	0.00	NaN	1
2p	924	0.00	0.00	-0.598	0.834	0.00	0.00	-0.598	0.841
2q	1556	0.00	0.00	-0.289	0.834	0.00	0.00	-0.289	0.841
3p	1062	0.03	0.03	3.13	0.00637	0.00	0.00	-0.539	0.841
3q	1139	0.03	0.03	3.39	0.00323	0.00	0.00	-0.507	0.841
4p	489	0.00	0.00	-0.74	0.834	0.00	0.00	-0.74	0.841
4q	1049	0.00	0.00	-0.551	0.834	0.00	0.00	-0.551	0.841
5p	270	0.00	0.00	-0.802	0.834	0.00	0.00	-0.802	0.841
5q	1427	0.00	0.00	-0.373	0.834	0.00	0.00	-0.373	0.841
6p	1173	0.00	0.00	-0.499	0.834	0.00	0.00	-0.499	0.841
6q	839	0.00	0.00	-0.628	0.834	0.00	0.00	-0.628	0.841
7p	641	0.03	0.03	2.23	0.0791	0.01	0.01	0.785	0.841
7q	1277	0.03	0.03	4.01	0.000368	0.01	0.01	1.8	0.443
8p	580	0.05	0.05	4.94	7.25e-06	0.00	0.00	-0.694	0.841
8q	859	0.05	0.05	5.85	9.09e-08	0.00	0.00	-0.605	0.841
9p	422	0.00	0.00	-0.75	0.834	0.03	0.03	1.89	0.443
10p	409	0.01	0.01	0.557	0.834	0.00	0.00	-0.758	0.841
10q	1268	0.01	0.01	1.74	0.189	0.00	0.00	-0.453	0.841
11p	862	0.00	0.00	-0.62	0.834	0.00	0.00	-0.62	0.841
11q	1515	0.00	0.00	-0.319	0.834	0.00	0.00	-0.319	0.841
12p	575	0.00	0.00	-0.714	0.834	0.00	0.00	-0.714	0.841
12q	1447	0.00	0.00	-0.362	0.834	0.00	0.00	-0.362	0.841
13q	654	0.01	0.01	0.77	0.816	0.00	0.00	-0.685	0.841
14q	1341	0.00	0.00	-0.42	0.834	0.00	0.00	-0.42	0.841
15q	1355	0.00	0.00	-0.413	0.834	0.00	0.00	-0.413	0.841
16p	872	0.00	0.00	-0.617	0.834	0.00	0.00	-0.617	0.841
16q	702	0.00	0.00	-0.674	0.834	0.00	0.00	-0.674	0.841
17p	683	0.00	0.00	-0.676	0.834	0.01	0.01	0.799	0.841
17q	1592	0.00	0.00	-0.261	0.834	0.00	0.00	-0.261	0.841
18p	143	0.03	0.03	1.58	0.235	0.00	0.00	-0.825	0.841
18q	446	0.03	0.03	1.93	0.143	0.00	0.00	-0.743	0.841
19p	995	0.00	0.00	-0.572	0.834	0.00	0.00	-0.572	0.841
19q	1709	0.00	0.00	-0.133	0.834	0.00	0.00	-0.133	0.841
20p	355	0.01	0.01	0.517	0.834	0.00	0.00	-0.773	0.841
21q	509	0.00	0.00	-0.724	0.834	0.03	0.03	2.01	0.443
22q	921	0.00	0.00	-0.599	0.834	0.00	0.00	-0.599	0.841
