Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2121	0.01	0.01	-1.05	1	0.02	0.02	-0.0664	0.978
1q	1955	0.01	0.01	-0.848	1	0.01	0.01	-0.848	0.995
2p	924	0.00	0.01	-2.79	1	0.02	0.02	-1.49	0.995
2q	1556	0.00	0.01	-2.21	1	0.02	0.02	-1.05	0.995
3p	1062	0.04	0.04	0.0617	1	0.01	0.01	-2.28	0.995
3q	1139	0.04	0.05	0.454	1	0.09	0.10	3.86	0.000364
4p	489	0.00	0.00	-3.35	1	0.08	0.08	1.38	0.205
4q	1049	0.00	0.00	-2.96	1	0.07	0.07	1.72	0.111
5p	270	0.01	0.01	-2.79	1	0.12	0.12	3.73	0.000542
5q	1427	0.00	0.00	-2.54	1	0.15	0.15	8.58	0
6p	1173	0.03	0.03	-0.837	1	0.00	0.01	-2.56	0.995
6q	839	0.04	0.04	-0.563	1	0.02	0.02	-1.83	0.995
7p	641	0.03	0.03	-1.43	1	0.02	0.03	-1.74	0.995
7q	1277	0.03	0.03	-0.642	1	0.02	0.03	-0.996	0.995
8p	580	0.13	0.13	4.73	1.44e-05	0.02	0.02	-1.87	0.995
8q	859	0.13	0.13	5.38	1.18e-06	0.01	0.02	-1.95	0.995
9p	422	0.01	0.02	-2.47	1	0.07	0.07	1.03	0.322
9q	1113	0.01	0.01	-2.21	1	0.06	0.06	1.19	0.27
10p	409	0.02	0.03	-2	1	0.02	0.02	-2.29	0.995
10q	1268	0.02	0.02	-1.4	1	0.02	0.02	-1.4	0.995
11p	862	0.01	0.01	-2.48	1	0.04	0.04	-0.561	0.995
11q	1515	0.00	0.01	-2.22	1	0.04	0.04	0.447	0.638
12p	575	0.00	0.01	-2.94	1	0.09	0.09	2.47	0.0265
12q	1447	0.00	0.01	-2.18	1	0.10	0.10	5.27	5.26e-07
13q	654	0.02	0.03	-1.58	1	0.08	0.09	2.07	0.0618
14q	1341	0.01	0.01	-2.02	1	0.03	0.03	-0.217	0.995
15q	1355	0.03	0.04	-0.0429	1	0.06	0.07	2.13	0.0586
16p	872	0.01	0.02	-2.18	1	0.02	0.02	-1.86	0.995
16q	702	0.01	0.02	-2.31	1	0.03	0.04	-1.07	0.995
17p	683	0.02	0.03	-1.21	1	0.21	0.21	10.1	0
17q	1592	0.03	0.04	0.492	1	0.11	0.11	6.35	1.08e-09
18p	143	0.10	0.11	2.66	0.0302	0.07	0.08	1.01	0.322
18q	446	0.09	0.10	2.3	0.0688	0.08	0.09	2.01	0.0661
19p	995	0.08	0.09	2.95	0.0157	0.07	0.08	1.96	0.0696
19q	1709	0.09	0.09	5.29	1.18e-06	0.06	0.07	3.26	0.00273
20p	355	0.04	0.04	-0.864	1	0.01	0.02	-2.59	0.995
20q	753	0.04	0.04	-0.382	1	0.01	0.01	-2.56	0.995
21p	13	0.00	0.01	-2.95	1	0.26	0.26	11.1	0
22q	921	0.00	0.00	-3.02	1	0.09	0.09	2.81	0.0109
