Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	LP3001946-DNA_E05_LP3001944-DNA_B01	LP3001946-DNA_G09_LP3001944-DNA_C01	LP3001959-DNA_A01_LP3001944-DNA_E01	LP3001977-DNA_G03_LP3001952-DNA_H05	LP3002258-DNA_A01_LP3002248-DNA_D07	LP3002258-DNA_A02_LP3002248-DNA_E07	LP3002258-DNA_A03_LP3002248-DNA_A04	LP3002258-DNA_A04_LP3002248-DNA_C05	LP3002258-DNA_A05_LP3002204-DNA_A01	LP3002258-DNA_A06_LP3002248-DNA_C02	LP3002258-DNA_A07_LP3002248-DNA_H07	LP3002258-DNA_A09_LP3002248-DNA_D10	LP3002258-DNA_A10_LP3002248-DNA_F11	LP3002258-DNA_B01_LP3002248-DNA_A08	LP3002258-DNA_B02_LP3002248-DNA_E05	LP3002258-DNA_B03_LP3002248-DNA_C04	LP3002258-DNA_B04_LP3002248-DNA_G01	LP3002258-DNA_B05_LP3002248-DNA_B08	LP3002258-DNA_B06_LP3002248-DNA_G06	LP3002258-DNA_B08_LP3002248-DNA_C09	LP3002258-DNA_B09_LP3002248-DNA_F10	LP3002258-DNA_B10_LP3002248-DNA_G11	LP3002258-DNA_C01_LP3002248-DNA_D05	LP3002258-DNA_C02_LP3002248-DNA_F06	LP3002258-DNA_C03_LP3002248-DNA_D04	LP3002258-DNA_C04_LP3002248-DNA_B06	LP3002258-DNA_C05_LP3002248-DNA_E02	LP3002258-DNA_C06_LP3002248-DNA_H06	LP3002258-DNA_C07_LP3002248-DNA_C08	LP3002258-DNA_C08_LP3002204-DNA_F01	LP3002258-DNA_C09_LP3002248-DNA_G10	LP3002258-DNA_C10_LP3002248-DNA_A12	LP3002258-DNA_D01_LP3002248-DNA_E06	LP3002258-DNA_D02_LP3002248-DNA_E08	LP3002258-DNA_D03_LP3002248-DNA_E04	LP3002258-DNA_D04_LP3002248-DNA_D08	LP3002258-DNA_D05_LP3002248-DNA_F05	LP3002258-DNA_D06_LP3002248-DNA_A07	LP3002258-DNA_D07_LP3002248-DNA_F08	LP3002258-DNA_D08_LP3002248-DNA_D01	LP3002258-DNA_D09_LP3002248-DNA_D02	LP3002258-DNA_E01_LP3002204-DNA_B01	LP3002258-DNA_E02_LP3002248-DNA_B02	LP3002258-DNA_E03_LP3002248-DNA_F04	LP3002258-DNA_E04_LP3002248-DNA_H11	LP3002258-DNA_E05_LP3002248-DNA_G05	LP3002258-DNA_E06_LP3002248-DNA_C07	LP3002258-DNA_E07_LP3002248-DNA_G08	LP3002258-DNA_E08_LP3002248-DNA_H09	LP3002258-DNA_E09_LP3002248-DNA_B11	LP3002258-DNA_F01_LP3002204-DNA_C01	LP3002258-DNA_F02_LP3002248-DNA_G09	LP3002258-DNA_F03_LP3002248-DNA_G04	LP3002258-DNA_F04_LP3002248-DNA_B07	LP3002258-DNA_F05_LP3002248-DNA_H05	LP3002258-DNA_F07_LP3002248-DNA_H08	LP3002258-DNA_F08_LP3002248-DNA_A10	LP3002258-DNA_F09_LP3002248-DNA_C11	LP3002258-DNA_G02_LP3002248-DNA_A11	LP3002258-DNA_G03_LP3002248-DNA_H04	LP3002258-DNA_G04_LP3002248-DNA_D09	LP3002258-DNA_G05_LP3002248-DNA_A06	LP3002258-DNA_G06_LP3002248-DNA_F07	LP3002258-DNA_G07_LP3002248-DNA_A09	LP3002258-DNA_G08_LP3002248-DNA_B10	LP3002258-DNA_G09_LP3002248-DNA_D11	LP3002258-DNA_H01_LP3002248-DNA_D03	LP3002258-DNA_H02_LP3002248-DNA_H03	LP3002258-DNA_H03_LP3002248-DNA_A05	LP3002258-DNA_H04_LP3002204-DNA_A02	LP3002258-DNA_H05_LP3002248-DNA_C06	LP3002258-DNA_H06_LP3002248-DNA_G07	LP3002258-DNA_H07_LP3002248-DNA_C03	LP3002258-DNA_H08_LP3002204-DNA_H01	LP3002258-DNA_H09_LP3002248-DNA_E11	LP3002259-DNA_C02_LP3002252-DNA_D01	LP3002259-DNA_E01_LP3002252-DNA_B07	LP3002259-DNA_F03_LP3002204-DNA_D01	LP3002259-DNA_G02_LP3002252-DNA_D02	
Amplification Peak 1	3p14.2 	chr3:59298345-61253231(probes 39241:39296)    	chr3:59307342-61243282(probes 39242:39295)    	chr3:59307342-61273130(probes 39242:39298)    	0.23947	    0.23947		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak 2	7p14.1 	chr7:38578077-39987688(probes 105151:105292)  	chr7:38587955-39977698(probes 105152:105291)  	chr7:38587955-40007669(probes 105152:105294)  	0.23947	    0.23947		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak 3	18q11.2	chr18:14284477-21638761(probes 203422:203712)	chr18:14294468-21628765(probes 203423:203711)	chr18:14294468-22748251(probes 203423:203824)	4.1928e-05	 4.1928e-05		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	
Deletion Peak 1	9p22.1 	chr9:1-141213431(probes 128068:129923)          	chr9:19490944-141213431(probes 129873:129923) 	chr9:19606049-141213431(probes 129885:129923) 	0.01618	       1		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Deletion Peak 2	9p22.1 	chr9:19442983-141213431(probes 129868:129923) 	chr9:19490944-141213431(probes 129873:129923) 	chr9:19606049-141213431(probes 129885:129923) 	0.01618	 0.01618		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Deletion Peak 3	11q12.1	chr11:48344561-88912550(probes 144654:147808)	chr11:48363653-56521198(probes 144657:144663)	chr11:48363652-56491263(probes 144656:144660)	0.16515	 0.16515		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak 1 - CN values	3p14.2 	chr3:59298345-61253231(probes 39241:39296)    	chr3:59307342-61243282(probes 39242:39295)    	chr3:59307342-61273130(probes 39242:39298)    	0.23947	    0.23947		Actual Copy Change Given	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak 2 - CN values	7p14.1 	chr7:38578077-39987688(probes 105151:105292)  	chr7:38587955-39977698(probes 105152:105291)  	chr7:38587955-40007669(probes 105152:105294)  	0.23947	    0.23947		Actual Copy Change Given	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak 3 - CN values	18q11.2	chr18:14284477-21638761(probes 203422:203712)	chr18:14294468-21628765(probes 203423:203711)	chr18:14294468-22748251(probes 203423:203824)	4.1928e-05	 4.1928e-05		Actual Copy Change Given	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6569	1	0	0	0	0	0	0	3.6569	0	0	0	0	0	0	
Deletion Peak 1 - CN values	9p22.1 	chr9:1-141213431(probes 128068:129923)          	chr9:19490944-141213431(probes 129873:129923) 	chr9:19606049-141213431(probes 129885:129923) 	0.01618	       1		Actual Copy Change Given	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.2929	
